,Category,Num,Date
212,仙侠,18,2021-06
213,轻小说,17,2021-06
214,历史,13,2021-06
215,玄幻,9,2021-06
216,科幻,7,2021-06
217,游戏,6,2021-06
218,悬疑,3,2021-06
219,体育,3,2021-06
220,诸天无限,2,2021-06
221,奇幻,1,2021-06
222,现实,1,2021-06
223,武侠,1,2021-06
224,仙侠,16,2021-07
225,都市,16,2021-07
226,轻小说,16,2021-07
227,历史,15,2021-07
228,玄幻,12,2021-07
229,游戏,6,2021-07
230,悬疑,5,2021-07
231,科幻,4,2021-07
232,诸天无限,4,2021-07
233,体育,3,2021-07
234,奇幻,1,2021-07
235,现实,1,2021-07
236,武侠,1,2021-07
237,仙侠,18,2021-08
238,都市,17,2021-08
239,玄幻,17,2021-08
240,轻小说,16,2021-08
241,历史,10,2021-08
242,科幻,7,2021-08
243,游戏,6,2021-08
244,体育,4,2021-08
245,悬疑,2,2021-08
246,诸天无限,2,2021-08
247,奇幻,1,2021-08
248,仙侠,20,2021-09
249,都市,18,2021-09
250,轻小说,15,2021-09
251,玄幻,12,2021-09
252,历史,11,2021-09
253,科幻,6,2021-09
254,体育,5,2021-09
255,游戏,5,2021-09
256,诸天无限,3,2021-09
257,悬疑,2,2021-09
258,武侠,1,2021-09
259,奇幻,1,2021-09
260,现实,1,2021-09
261,都市,24,2021-10
262,仙侠,18,2021-10
263,历史,14,2021-10
264,玄幻,12,2021-10
265,轻小说,11,2021-10
266,科幻,10,2021-10
267,游戏,6,2021-10
268,奇幻,2,2021-10
269,悬疑,2,2021-10
270,武侠,1,2021-10
271,都市,24,2021-11
272,仙侠,18,2021-11
273,历史,14,2021-11
274,玄幻,12,2021-11
275,轻小说,11,2021-11
276,科幻,10,2021-11
277,游戏,6,2021-11
278,奇幻,2,2021-11
279,悬疑,2,2021-11
280,武侠,1,2021-11
281,都市,24,2021-12
282,仙侠,18,2021-12
283,历史,14,2021-12
284,玄幻,12,2021-12
285,轻小说,11,2021-12
286,科幻,10,2021-12
287,游戏,6,2021-12
288,奇幻,2,2021-12
289,悬疑,2,2021-12
290,武侠,1,2021-12
291,都市,21,2022-01
292,仙侠,16,2022-01
293,历史,16,2022-01
294,玄幻,14,2022-01
295,轻小说,13,2022-01
296,科幻,6,2022-01
297,游戏,6,2022-01
298,体育,3,2022-01
299,悬疑,2,2022-01
300,奇幻,1,2022-01
301,军事,1,2022-01
302,诸天无限,1,2022-01
303,都市,22,2022-02
304,玄幻,15,2022-02
305,历史,14,2022-02
306,轻小说,12,2022-02
307,仙侠,12,2022-02
308,游戏,8,2022-02
309,科幻,5,2022-02
310,奇幻,3,2022-02
311,体育,3,2022-02
312,悬疑,2,2022-02
313,武侠,2,2022-02
314,军事,1,2022-02
