,Name,Author,Link,Category,The Specific Category,State,Description
13,双城：我成了双姐妹亲爹,错字兽,//book.qidian.com/info/1033231984,游戏,游戏异界,连载,林恩从地上站起，指着天上的乌云：“希尔科，从我发动谋划的第一刻开始，我从来就没有想过要使用阴谋诡计！阴谋诡计是永远也上不得台面的东西，我不屑于用这样低级的手段。我操纵的，是大势啊！光荣行动失败，祖安民众家中的顶梁柱死伤惨重，他们需不需要一个公道？上城群情激奋，议会需要一个交代，如何平息？和平还是战争，你跟范德尔之间势如水火，谁能妥协？就如这满天的乌云，你眼睁睁的看着它聚拢在一块，你能够将它们一把驱散吗？不！你不能，你所能做的就是提前为自己撑一把伞，最多奔走呼号让很多人都撑上一把伞。这，就是大势！”PS1：非工作室作品，前期夺权，后期种田。PS2：如果你不想看遵循原著故事情节循规蹈矩的东西，那么你来对了。PS3：开篇发生在范德尔冲击大桥至爆爆四人组偷取海克斯水晶的中间。（本书又名《复兴祖安从收服希尔科开始》）
14,重生之似水流年,苍山月,//book.qidian.com/info/1027551057,都市,都市生活,连载,一个伤痕累累的中年灵魂倒退回时光里，拥抱98年的斑驳阳光。蓦然发现，原来那时少年正好，岁月飘香。原来犯错才叫成长，青春可以如此飞扬...
15,LOL：这个男人太强了！,一片苏叶,//book.qidian.com/info/1031260171,游戏,电子竞技,连载,李昊，有人叫他日天哥，还有人喊他蔑视哥。他是一坛S2陈酿，是旧时代的残党，号称‘老将’，在联盟中一直蹉跎。突然，他有挂了！……多年后，‘暮年’的大魔王正在下山，他仰头一看，和自己同一时代的LPL老神竟然还在巅峰！棒子粉丝：“不要慌，明年是最好的机会，他又老了一岁，一定不行了。”老60e：“那不是废砖，是我们的王朝基石啊！呜呜呜.....”方块龙：“这个人怪得很！”嫖老师：“当初我站在黄浦江边，这个人站在那里望着江水，当时我就觉得他不凡。”妹子粉丝：“我们最心疼哥哥~”法王：“面对这个人，就算我有芙蓉王也打不过。”……整肃联盟画风，LPL新神话。传说，就从那被踢翻的饮水机开始！……
16,深空彼岸,辰东,//book.qidian.com/info/1027339371,都市,异术超能,连载,浩瀚的宇宙中，一片星系的生灭，也不过是刹那的斑驳流光。仰望星空，总有种结局已注定的伤感，千百年后你我在哪里？家国，文明火光，地球，都不过是深空中的一粒尘埃。星空一瞬，人间千年。虫鸣一世不过秋，你我一样在争渡。深空尽头到底有什么？——————书友群见书友圈置顶帖。
17,全球御兽：只有我能看到隐藏信息,破船起航,//book.qidian.com/info/1028580452,科幻,时空穿梭,连载,一夜之间，所有人进入了御兽世界，这里危机四伏，凶兽遍地！一个木屋，一个战兽，陈长安踏上了未知的征程。幸好，他能看到隐藏的信息！战兽隐藏的晋升条件，安全屋隐藏的升级途径，未知宝箱里隐藏的所有物品！御兽，求生，升级，争霸
18,叩问仙道,雨打青石,//book.qidian.com/info/1022576776,仙侠,古典仙侠,连载,一个凡人少年因为一次意外而误入仙道，在求仙路上挣扎前行。仙路难于登天，面对重重险阻，他的求道之心依然不减分毫。再回首，青山依旧在，故旧皆白骨。下面两个企鹅群，大家想加群的，可以酌情加入。禁言群：710441068（防止聊天群被封，里面可能会发一些通知、公告什么的，一般不会说话）聊天群：751243563
19,这游戏也太真实了,晨星LL,//book.qidian.com/info/1029391348,轻小说,原生幻想,连载,这游戏也太真实了叭！搬砖、跑腿、捡垃圾、送快递……公司最多能让你体会到996的艰辛，在这里你能体会到超级加倍的007。好了，不废话了，伟大的管理者大人喊我去搬砖了。那位大人说了，只要我们努力献上自己的肝，下个月他又能换一套全新的动力甲，到时候带我们开全新的地图，去广阔的废土捡更多的垃圾！……穿越到废土世界的楚光发现，自己解锁了避难所系统，能够从平行世界召唤名为“玩家”的生物。从那天开始，整个废土都不正经了。
20,霸武,开荒,//book.qidian.com/info/1033674106,仙侠,古典仙侠,连载,楚希声穿越大宁，在霸武王陵内死而复生。他逃出坟墓后，不但要面临朝廷与各方势力的追杀，还得帮助他的妻子霸武王秦沐歌一步步拿回她的一切。幸运的是他觉醒了一个系统，越出名越无敌，越背锅越强大。
21,魇醒,睡不行,//book.qidian.com/info/1020449365,悬疑,诡秘悬疑,连载,超凡力量意味着必须支付代价！穿越后的沈谧觉醒了读心术，代价却是......将读到的心声说出来。这是一群扑街作家的故事，每个人都活出了自己书里的样子。
22,吞噬星空之修行模拟器,隔江犹唱后庭花,//book.qidian.com/info/1033736448,轻小说,衍生同人,连载,逸寒穿越吞噬星空，成为古轮宇宙国中的皇室成员，看起来一切都十分的美好，但宇宙国的皇族经过亿万年早已不计其数，他也只是其中不起眼的一个。不过，就在他开始修行的时候，体内的修行模拟器开启了！［修行模拟器开启：本次为F级模拟］……［你出生在加仑星域-普林星系中的一颗生命星球］……［你参加巨斧斗武场比斗，完成一千场胜利，被吸纳成为了外围成员］……［你死在了域外战场］［获得奖励：时间法则感悟+15，风之法则感悟+10］……一次次的模拟选择，给了逸寒通往更高道路的机会！吞噬同人，最爱番茄~
23,住手，我快成boss了！,医用纱布,//book.qidian.com/info/1033300804,游戏,游戏异界,连载,穿越者成NPC的林顿非常乐于帮助各位降临的玩家。他热情善良，给予每一位玩家报酬丰厚的任务，指点他们通关各处隐藏副本。久而久之，为了回报林顿的热情，玩家们纷纷在游戏的每个角落里都留下了林顿的传说。“真主的走狗？不不不，都是林顿先生的指引。”“谁召唤的天启四骑士？还用想吗？那必须是林顿啦！”“篡夺神位，崩毁天理，果然是林顿先生能做出来的事呢~”林顿惊恐地看着第四天灾们的骚操作。“住手！我快成boss了！”
24,在美漫当心灵导师的日子,遇牧烧绳,//book.qidian.com/info/1032768092,轻小说,衍生同人,连载,原书名《美漫：开局指导蝙蝠侠》一朝穿越，席勒成了蝙蝠侠的老师，哥谭大学心理学教授。刚来第一天，布鲁斯·韦恩就进了心理诊室。席勒只得打开美漫聊天系统，发了第一条帖子:蝙蝠侠问我人生的意义，该怎么回答？在线等挺急的。席勒·安戴尔·罗德里格斯，世界级犯罪心理学大师，哥谭大学最知名的心理学教授，他的学生既有超级英雄，也有超级罪犯，但他却不属于其中任何一个，蝙蝠侠喜欢称他为“教授”，小丑把他念作“最冷静的疯子”，稻草人叫他“阿卡姆漏网之鱼”，尼克·弗瑞认为他是“脱罪家”。做蝙蝠侠的老师、小蜘蛛的教父、钢铁侠的心理医生，席勒的美漫之旅，从开局指导蝙蝠侠开始。综美漫（包含电影宇宙），DC漫威及其他漫画，不虐主，配角不降智。（别在意书名！不是工作室文！不是聊天群！系统没啥存在感！正准备改名了！真的正在改了！）
25,诸天：从玄黄大世界开始无敌,爱美之秋,//book.qidian.com/info/1034057582,诸天无限,诸天,连载,人在永生大界，穿越诸天万界。遮天完美，仙逆求魔。佛本莽荒，圣王龙符。诸天万界谁为尊，一道更比一道强。
26,从先天功开始纵横诸天,哆啦i梦,//book.qidian.com/info/1033209138,诸天无限,诸天,连载,徐浪获得氪金系统，只要通过氪金，就能够变强。于是为了钱，徐浪在地图上画一个圈。想要金山吗？去澳大利亚！笑傲世界轰轰烈烈的大航海开始了！
27,陈医生，别怂！,手握寸关尺,//book.qidian.com/info/1033731887,都市,都市生活,连载,【叮！你收到了来自患者的恶意投诉，获得系统补偿奖励！】如果你有一个差评补偿系统，你会选择成为什么样的人？！陈南选择做一个好人。一个敢说真话的人。一个光明磊落的人。一个不畏强权的人。一个绝不妥协的人。一个面对这群魔乱舞时代，绝不认怂的人！为众人抱薪者，不可使其冻毙于风雪！为苍生治水者，不可使其沉溺于湖海！为当下奋斗者，不可使其淹没于尘埃！为未来奠基者，不可使其从宽而入窄！悲兮叹兮，若善者不得善终，恶者可更恶乎？泱泱之邦，我陈南愿守医德，明是非，无苟且，尽真言，以求悲剧不复！我若为医，便要做那顶天立地，不为苟且，光明磊落的医！
28,天朝仙吏,六戏,//book.qidian.com/info/1031199549,仙侠,古典仙侠,连载,楚尘携心中庙宇降临大昌天朝，拜入道门。内炼丹道，外修符箓；诵经服气，斋醮科仪。掌雷法，掐剑诀，踏禹步，祈晴祷雨，召神遣将，解厄度人，斩妖除魔...
29,灵境行者,卖报小郎君,//book.qidian.com/info/1031940621,科幻,进化变异,连载,亘古通今，传闻世有灵境。关于灵境的说法，历朝历代的名人雅士众说纷纭，诗中记载：“自齐至唐，兹山濅荒，灵境寂寥，罕有人游。”“灵境不可状，鬼工谅难求。”
30,长夜行,北獠,//book.qidian.com/info/1023891389,仙侠,古典仙侠,连载,昆仑雪殿，曾有仙人言，逝者流离，生者不释。魂魄一去，将同草秋。尸者重生，游离人间，当为仙家百门所不容，尸魔伏诛。这一日，少年自棺中醒来，血枯骨寒，睁眼已是百年人。仙人一泪，长相守，可解前尘一梦。不修长生修凡死，不为万古同悲寻恨，只愿此生终老温柔，白云不羡仙乡。（长夜行普群：917572815，v群已经创立，进普群找管理验证可进）
31,大明：我，调教木匠皇帝,风少羽,//book.qidian.com/info/1033759399,历史,两宋元明,连载,虽然我科举舞弊，结党谋权，还调教木匠皇帝，但是我知道自己是个好官——张好古！
32,我是导演，我不比烂,不是老狗,//book.qidian.com/info/1034167664,都市,娱乐明星,连载,2006年，许鑫做了一个梦，梦里，他看到了一个处处在比烂的娱乐圈。为了博出位而不顾一切，为了流量而大费周折。“既然如此，为什么不能活成一束光呢？”（高清无码无虐无狗血，人品保证，放心入坑）
33,夜的命名术,会说话的肘子,//book.qidian.com/info/1021617576,都市,异术超能,连载,蓝与紫的霓虹中，浓密的钢铁苍穹下，数据洪流的前端，是科技革命之后的世界，也是现实与虚幻的分界。钢铁与身体，过去与未来。这里，表世界与里世界并存，面前的一切，像是时间之墙近在眼前。黑暗逐渐笼罩。可你要明白啊我的朋友，我们不能用温柔去应对黑暗，要用火。
34,大魏读书人,七月未时,//book.qidian.com/info/1029160231,仙侠,古典仙侠,完本,武昌元年。大魏王朝，历经七次北伐而败，国库空虚，民不聊生，又逢先帝驾崩。而后，女帝登基，日月当空。此时，天下妖魔横出，为祸人间。大魏藩王蠢蠢欲动，朝堂涌动不安，异族番邦虎视眈眈。也就在大魏江山岌岌可危之时，文科生许清宵穿越而来，却发现只剩下十二时辰寿命。为求自保，修行‘异术’，凝聚魔种，获取超凡力量！为压制魔种，许清宵修行最强体系儒道，却不曾想，借助诗词文章，一步一步证道文圣。“吾乃许清宵，大魏读书人。”“读的是春秋！”————【万订热血儒道之作】【无敌穿越智斗爽文】【八十三章炸裂起飞】【日更两万稳定作品】
