,Name,Author,Link,Category,The Specific Category,State,Description
48,重生2008：我阅读能赚钱,520农民,//book.qidian.com/info/1033273073,都市,都市生活,连载,【最卷工业科技都市文】沐阳重生2008年，正值风华正茂，左拥漂亮女友，右握阅读系统。LV1时，每阅读1000字，+1元，+1技能经验；数学：2级（1300/3000）+机械制图CAD：4级（13100/100W）+......升级学科和操作技能，研发新技术，走科技强国之路！从等离子堆焊、热丝自动TIG焊、手持激光焊、机器人激光焊开始，发展基础工业，以一己之力推动全球科技进程。非神豪文、单女生、主打实体工业、怀旧文、轻松、弥补遗憾，从本书开始。前期为机械工业，老农亲自操作示范，卷死同行。
49,什么叫六边形打野啊,这很科学啊,//book.qidian.com/info/1031785579,游戏,电子竞技,连载,{英雄联盟电竞文}团战、Gank、视野、操作、意识、英雄池……全部拉满！顾行用职业生涯诠释着，什么叫六边形打野！……18岁的顾行意外发现了自己的独特天赋，他原本只想利用暑期空闲时间赚点生活费，缓解一下家里的经济压力，却阴差阳错一头扎进了2016年的LPL。联赛内有横扫一切的EDG，异军突起的RNG，重组2.0版本的WE……联赛外强敌环伺，连续3年夺冠的LCK气势如虹，还在延续自己的宰治，欧美赛区蠢蠢欲动试图翻身，LPL依旧行走在漫无边际的黑暗中。但来都来了。在顾行踏上职业道路的这一刻开始，目标就只有冠军！从懵懂新人到队伍领袖，再到赛区乃至英雄联盟的标志，他一步步迈上巅峰！
50,诸界第一因,裴屠狗,//book.qidian.com/info/1029701421,玄幻,东方玄幻,连载,浩瀚的世界重新焕发生机，远去的神魔即将归来。持一口暴食之鼎，法学生杨狱穿越而来，于边陲小镇睁眼看这似是而非的世界。他看到无垠大地之上，古老的王朝濒临末路，烽火中龙蛇四起。他看到连年征战，民不聊生。千户之地，瞬息尽成白地，万乘之国，弹指化作云烟。他看到有童子挥舞红绫舞动四海。他看到猎户立于山巅，弯弓向天。他看到巨人立地顶天，咆哮间，山河皆碎。他看到九霄云中仙神盘踞，谈笑间，沧海桑田。杨狱沉默、迷惘、压抑，直至，发出惊天怒吼：“大丈夫生当五鼎食，死亦五鼎烹！”“我这一生，绝不碌碌！”…………已有老书《诸天投影》《大道纪》，喜欢的朋友可以去看看。
51,大明小学生,随轻风去,//book.qidian.com/info/1027459312,历史,两宋元明,连载,南京城里，秦淮河畔，卑微少年站在历史的路口，贫穷人生从遇到富婆开始。大明的韭菜们并没有资格自称学生，那只好先当小学生了。
52,俗主,南腔北调,//book.qidian.com/info/1027596849,科幻,进化变异,连载,【民俗悬疑，魂系世界，跑团体验】一款名为《俗世》的文字跑团游戏悄然问世，人们发现游戏里获得的奖励，居然能带到现实？一场新的大航海时代自此开启，有的人抬起头遥望深空，鼓起勇气去走一条归乡之旅，也有人的目标是通往文明起源的掘金之行，想要发掘那些藏匿于古老历史中的神秘宝藏。风水相术，走阴倒斗，赶尸辟邪，痋术降头，山客皮匠，水客脚行，床头虱母，缫丝煮盐，五雷正法能除祟，胡黄柳灰请道兵，端公养小鬼，神婆跳傩神，一碗符水偏治撞客，一纸黄符天师受箓，河神不吃昨年祭，途川祸水向东流，山神庙下不歇脚，土地公前不问路……那是一个礼乐崩坏，祸祟人间，俗神漫天，铜路遍地，污秽与邪祟野性生长的疯狂之地。周八蜡执掌大祭灶，监巡俗世间，请五路兵马，入四梁八柱，拘敕牛鬼蛇神，重回那个被人类遗忘的荒诞民俗世界，揭秘远古文明起源的真相，遥望人类远在宇宙之外星空之遥的故乡。
53,尊师孔仲尼,役智,//book.qidian.com/info/1033354270,历史,上古先秦,连载,公元前504年，晋国的霸权正逐渐走向衰落，吴越争霸正拉开序幕，鲁国境内阳虎为患，百家学说的萌芽在一片蒙昧中孕育。当宰予从睡梦中苏醒，他得到了两千年后的记忆。他的老师是万世之师孔子，他的同学是孔门七十二贤，子贡、子路、颜回、冉求……谈笑有鸿儒，往来无白丁。宰予感叹命途多舛，即便是春秋，内卷还是如此严重。但他不知道的是，这一世，他将洗刷朽木不可雕也的污名。他是孔门十哲中的十哲，列国名士中的名士，吴起老师的老师。孔子慨叹栋梁之才，孙子高呼不可战胜，伍子胥的一生之敌，姑布子卿惊为天人，令赵毋恤求而不得之人。我叫宰予，这是一个杠精活在公元前的故事。本书又名《导师是学术大牛怎么办？》《和导师抬杠结果被延毕了》《第一学历高找工作就是容易》《搞点发明专利，要不要给导师挂个第一作者？》
54,我只想安静的做个苟道中人,爆炸小拿铁,//book.qidian.com/info/1026694115,仙侠,幻想修仙,连载,“叮咚！”“欢迎使用全智能修真系统！”“您选择修炼【锻骨决】，系统开始为您修炼，系统检测缺少修炼丹药淬骨丹，请稍等……”“系统成功为你偷取了十颗淬骨丹，修炼继续……”“重要提示，系统修炼期间，您将失去身体的控制权……”得到智能修仙系统后，裴凌不声不响的飞速成长，准备一直苟到成仙，直到某一天……“叮咚！”“您选择修炼【无名功法】，系统检测缺少道侣，系统正在为您寻找道侣……”于是，裴凌眼睁睁的看着自己跑向隔壁仙子的修炼室……
55,我师兄实在太稳健了,言归正传,//book.qidian.com/info/1016572786,仙侠,神话修真,完本,重生在封神大战之前的上古时代，李长寿成了一个小小的炼气士，没有什么气运加身，也不是什么注定的大劫之子，他只有一个想要长生不老的修仙梦。为了能在残酷的洪荒安身立命，他努力不沾因果，杀人必扬其灰，凡事谋而后动，从不轻易步入危险之中。藏底牌，修遁术，炼丹毒，掌神通，不动稳如老狗，一动石破天惊，动后悄声走人。本来李长寿规划中，自己会一直躲在山中平安无事的修行成仙，直到有一年，他的老师父静极思动，又给他……收了个师妹回来……【PS：暂时不开新群，五群（1098711961）壹群（474095492）贰群（836797636）叁群（398929196）肆群（1071059242）贯彻到底，轻松修仙！】
56,大夏文圣,七月未时,//book.qidian.com/info/1033544120,仙侠,古典仙侠,连载,神洲。大夏王朝。永盛十二年。顾锦年穿越而来，惊奇发现这是个仙武并存，王朝主宰的世界。这个世界有儒、道、武、佛、妖、术、剑。自己则成了大夏王朝第一权贵镇国公长孙，自幼锦衣玉食，享万千宠溺。然而顾锦年更是发现，神洲世界有天命之说，五百年定一次天命，得天命者可踏入传说之中的第八境。此番天命为儒道也，故万般皆下品惟有读书高。可最让顾锦年震惊的是，自己的儒道，竟有恐怖异象。下棋落子，金光璀璨，大龙浮现，天地大同，为棋坛圣手。作诗异象，十里花香，百里祥云，千里奇观，为古今诗仙。丹青成真，画龙点睛，落笔有神，墨宝无价，非有诏不得画。文章惊天，旷古烁今，字字珠玑，人人如龙，千古绝唱惊世人。吾名顾锦年，大夏文圣。------已有三万均订作品，《大魏读书人》，两百四十万字完结作品。新书再续儒道热血，主打家国热血，文人风骨，与上本书不同质，有区别，放心入坑。
57,此间的男神,周一口鸟,//book.qidian.com/info/1033356064,都市,都市生活,连载,“别和我表白，我真不会拒绝。”“我都和你说过了，我不会拒绝...”
