,Name,Author,Link,Category,The Specific Category,State,Collect,Description
67,盗墓笔记,南派三叔,//book.qidian.com/info/68223,悬疑,探险生存,完本,1059277,热播剧《怒海潜沙》原著小说。50年前由长沙土夫子（盗墓贼）出土的战国帛书，记载了一个奇特战国古墓的位置，50年后，其中一个土夫子的孙子在他的笔记中发现这个秘密，纠集了一批经验丰富的
68,签到十年，我被绝色师姐曝光了,卿慕寒,//book.qidian.com/info/1025826037,玄幻,东方玄幻,连载,1051878,叶辰穿越到玄幻世界，发现自己竟然有七个美若天仙的仙女师姐。大师姐，红衣女帝！二师姐，冷艳剑神！三师姐，缥缈仙子！.....................七师姐，绝代天骄！天生废物
69,从斗罗开始打卡,夏竖琴,//book.qidian.com/info/1016869634,轻小说,衍生同人,完本,1042933,穿越斗罗大陆，本想咸鱼一生的王枫，却意外开启打卡辅助系统！“叮，斗罗大陆剧情正式开启，宿主打卡成功，恭喜获得：流星泪！”……同时，在系统的帮助下，王枫开始获得各式各样的强大武魂。有
70,大梦主,忘语,//book.qidian.com/info/1016534035,仙侠,幻想修仙,连载,1040785,一个从小体弱多病的富商之子，在寻求续命之法时，意外走上了修仙登天之路！大唐盛世，天下安泰，风调雨顺，百姓安居。千年后世，魔物吞天，妖鬼横行，遍野哀鸣。西游再现，大圣斗天，天蓬下凡，
71,临渊行,宅猪,//book.qidian.com/info/1017125042,玄幻,东方玄幻,完本,1036327,苏云怎么也没有想到，自己生活了十几年的天门镇，只有自己是人。他更没有想到天门镇外，方圆百里，是鼎鼎有名的无人区。少年睁开眼睛时，想象中的世界崩塌了，妖魔鬼怪横行的现实呈现在他的面前
72,视死如归魏君子,平层,//book.qidian.com/info/1027440366,轻小说,原生幻想,连载,1028300,魏君确认自己被杀死后就能直接无敌，于是他开始疯狂的作死。然后，他发现这个世界有毒。“当初仙门凌驾于朝堂之上作威作福，满朝文武包括朕皆对仙人卑躬屈膝，只有魏君一身是胆，视死如归，在众
73,斗罗大陆IV终极斗罗,唐家三少,//book.qidian.com/info/1013406185,玄幻,异世大陆,完本,1005945,一万年后，冰化了。斗罗联邦科考队在极北之地科考时发现了一个有着金银双色花纹的蛋，用仪器探察之后，发现里面居然有生命体征，赶忙将其带回研究所进行孵化。蛋孵化出来了，可孵出来的却是一个
74,学霸的黑科技系统,晨星LL,//book.qidian.com/info/1011449273,科幻,超级科技,完本,993159,“系统，积分能换钱吗？”“不能。”“淦，那我要你何用？”“我能让你成为学霸。”-从数学猜想到可控核聚变，从一张黑板到无垠的星空。这是一个关于学霸的故事。
75,黎明之剑,远瞳,//book.qidian.com/info/1010400217,科幻,时空穿梭,连载,984841,高文穿越了，但穿越的时候稍微出了点问题。在某个异界大陆上空飘了十几万年之后，他觉得自己可能需要一具身体才算是成为一个完整的穿越者，但他并没想到自己好不容易成功之后竟然还需要带着这具
76,天道图书馆,横扫天涯,//book.qidian.com/info/1004179514,玄幻,异世大陆,完本,961597,【2017最火玄幻作品，海外点推双榜第一】张悬穿越异界，成了一名光荣的教师，脑海中多出了一个神秘的图书馆。只要他看过的东西，无论人还是物，都能自动形成书籍，记录下对方各种各样的缺点
77,灵境行者,卖报小郎君,//book.qidian.com/info/1031940621,科幻,进化变异,连载,948647,亘古通今，传闻世有灵境。关于灵境的说法，历朝历代的名人雅士众说纷纭，诗中记载：“自齐至唐，兹山濅荒，灵境寂寥，罕有人游。”“灵境不可状，鬼工谅难求。”
