,Name,Author,Link,Category,The Specific Category,State,Yuepiao,Description
1,大奉打更人,卖报小郎君,//book.qidian.com/info/1019664125,仙侠,幻想修仙,完本,176585,《大奉打更人》1-12册实体书已在天猫、京东、当当全平台发售。这个世界，有儒；有道；有佛；有妖；有术士。警校毕业的许七安幽幽醒来，发现自己身处牢狱之中，三日后流放边陲.....他起初的目的只是自保，顺便在这个没有人权的社会里当个富家翁悠闲度日。......多年后，许七安回首前尘，身后是早已逝去的敌人，以及累累白骨。滚滚长江东逝水，浪花淘尽英雄，是非成败转头空。青山依旧在，几度夕阳红。
2,这个人仙太过正经,言归正传,//book.qidian.com/info/1021635590,仙侠,修真文明,完本,155710,半神之躯，比肩凡人！正经人仙，山海薅神！（正经版简介）天高九万里，地有无尽国。人道多不易，山海尽荒泽。【普一群：1071059242，普二群：1041155628，全订V群已开，在普群找管理就可。继续仙侠轻喜剧，非洪荒体系，取材《山海经》、《九歌》、《天问》，勿代入三清、道祖等人物，努力发掘更原生态的中国古典神话！】
3,从红月开始,黑山老鬼,//book.qidian.com/info/1024868626,科幻,进化变异,完本,63386,红月亮出现在天上的那一刻开始，全世界的人都成了疯子。除了我！
4,全职艺术家,我最白,//book.qidian.com/info/1022282526,都市,娱乐明星,连载,48888,“音乐、影视、绘画、书法、雕塑、文学……”“你都懂？”“略知一二。”“都会一点的意思？”“嗯，都会亿点的意思。”怀揣系统，靠艺术征服世界，成为各界人士顶礼膜拜的无冕之王。
5,稳住别浪,跳舞,//book.qidian.com/info/1025325411,都市,都市异能,连载,48295,天堂打烊，地狱满员。所以，我留在人间当祸害呀……
6,神话版三国,坟土荒草,//book.qidian.com/info/3223937,历史,秦汉三国,连载,45624,陈曦看着将一块数百斤巨石撇出去的士卒，无语望苍天，这真的是东汉末年？吕布单枪匹马凿穿万人部队，这怎么看都不科学。赵子龙真心龙魂附体了，一剑断山，这真的是人？典韦单人护着曹操杀出敌营，顺手宰了对面数千步骑，这战斗力爆表了吧！这是不是哪里有些不对啊，陈曦顺手摸了一把鹅毛扇挥了一下，狂风大作，叹了一口气，“这是神话吧，我自己都不正常了。”ps：其实这是一篇正经的种田文……QQ群：95010223（满了）全订验证群：949176942酱油群：397441818（快满了）二群：418928396（快满了）三群：371034966五群：966666635
7,剑卒过河,惰堕,//book.qidian.com/info/1021693079,仙侠,古典仙侠,完本,44563,小人物，也有大成就！一卒过河，有进无退！一剑在手，再铸辉煌！本书vip群号：964227244。官方群号：853336118
8,大梦主,忘语,//book.qidian.com/info/1016534035,仙侠,幻想修仙,连载,44012,一个从小体弱多病的富商之子，在寻求续命之法时，意外走上了修仙登天之路！大唐盛世，天下安泰，风调雨顺，百姓安居。千年后世，魔物吞天，妖鬼横行，遍野哀鸣。西游再现，大圣斗天，天蓬下凡，卷帘重生。莫名的穿梭与轮回，虚实掩映，真幻交织！是预言中的梦境？还是尚未发生的现实？他能否打破命中注定的魔障，消弭还未发生的三界大劫，挽救苍生于水火？
9,体修之祖,石木,//book.qidian.com/info/1005010905,仙侠,幻想修仙,连载,43968,在修仙界，人人都知道体修的可怕，肉身拥有法宝般的强大防御，一拳一脚蕴含恐怖蛮力，往往可以越阶而战，战斗力惊人。那么在早期的修仙界，第一位体修是怎么出现的？在那修炼脆弱金丹和元婴的体系中，炼体功法又是如何创立的呢？这是一个讲述体修之祖，开创炼体一脉的故事。
10,精灵掌门人,轻泉流响,//book.qidian.com/info/1015792398,轻小说,衍生同人,完本,42740,新书《不科学御兽》已上传！……为什么考试会有精灵对战，为什么出门会被精灵袭击，谁告诉我地球发生了什么……不要碰我！我不要吃药，我没疯！接受了设定后……方缘立志成为一名优秀的训练家。“真香。”
