,Name,Author,Link,Category,The Specific Category,State,Yuepiao,Description
1,万族之劫,老鹰吃小鸡,//book.qidian.com/info/1018027842,都市,都市异能,完本,150995,我是这诸天万族的劫！《全球高武》和《万族之劫》前五册实体书出版了，天猫、当当、京东都有售，喜欢的可以去看看，谢谢大家支持！
2,我师兄实在太稳健了,言归正传,//book.qidian.com/info/1016572786,仙侠,神话修真,完本,72456,重生在封神大战之前的上古时代，李长寿成了一个小小的炼气士，没有什么气运加身，也不是什么注定的大劫之子，他只有一个想要长生不老的修仙梦。为了能在残酷的洪荒安身立命，他努力不沾因果，杀人必扬其灰，凡事谋而后动，从不轻易步入危险之中。藏底牌，修遁术，炼丹毒，掌神通，不动稳如老狗，一动石破天惊，动后悄声走人。本来李长寿规划中，自己会一直躲在山中平安无事的修行成仙，直到有一年，他的老师父静极思动，又给他……收了个师妹回来……【PS：暂时不开新群，五群（1098711961）壹群（474095492）贰群（836797636）叁群（398929196）肆群（1071059242）贯彻到底，轻松修仙！】
3,大奉打更人,卖报小郎君,//book.qidian.com/info/1019664125,仙侠,幻想修仙,完本,59332,《大奉打更人》1-12册实体书已在天猫、京东、当当全平台发售。这个世界，有儒；有道；有佛；有妖；有术士。警校毕业的许七安幽幽醒来，发现自己身处牢狱之中，三日后流放边陲.....他起初的目的只是自保，顺便在这个没有人权的社会里当个富家翁悠闲度日。......多年后，许七安回首前尘，身后是早已逝去的敌人，以及累累白骨。滚滚长江东逝水，浪花淘尽英雄，是非成败转头空。青山依旧在，几度夕阳红。
4,亏成首富从游戏开始,青衫取醉,//book.qidian.com/info/1016150754,游戏,游戏系统,完本,31763,近日，特约记者对腾达集团总裁裴谦做了专访。腾达集团目前估值已达千亿级别，业务涉及游戏、互联网、数码硬件、文化传媒、餐饮等多个领域，深刻地改变了人们生活的方方面面。而裴谦，也被视为“绝世好老板”、“不世出的投资奇才”、“天才游戏制作人”，拥有“无为而治的管理才能”和“对行业风向的精确洞察力”。面对记者，裴谦大吐苦水。“我真不是什么商业奇才啊！”“我的成功，完完全全都是运气使然！”“我最初的目标，只是想亏光五万块而已……”看，商业天才的人生就是这么的谦虚而又低调。书友群：792351511（新群）1064135703（快满了）893157567（快满了）
5,颤栗高空,奥比椰,//book.qidian.com/info/1016604776,悬疑,诡秘悬疑,完本,29800,一觉醒来，出现在了千余米的高空。这是一根高耸入云的石柱的顶端。我是怎么上来的？我该怎么下去？救命啊！
6,精灵掌门人,轻泉流响,//book.qidian.com/info/1015792398,轻小说,衍生同人,完本,29064,新书《不科学御兽》已上传！……为什么考试会有精灵对战，为什么出门会被精灵袭击，谁告诉我地球发生了什么……不要碰我！我不要吃药，我没疯！接受了设定后……方缘立志成为一名优秀的训练家。“真香。”
7,明天下,孑与2,//book.qidian.com/info/1015609210,历史,两宋元明,完本,27651,明末的历史纷乱混杂，堪称是一段由一些有着强大个人魅力的人书写成的历史。不论是李自成，还是张献忠这些叛逆者，还是崇祯，袁崇焕，这些当权者，亦或是吴三桂，耿精忠这些背叛者，每个人身上都有很多的故事，就是因为有了这些精彩的故事，明末的历史才变得大气起磅礴，波澜起伏。想要把这一段历史写好，自然要描绘出一个个活生生的人物，不论他的立场如何，我们站在历史长河的边缘上旁观，他们不过是这条长河里的一朵浪花。冷眼看世界，就是我们目前需要做的事情，冷眼看历史也是我们目前生活的一种追求。历史长河已经流淌到了我们的脚下，我们大可站在河边，准备迎接我们的历史。
8,第一序列,会说话的肘子,//book.qidian.com/info/1013562540,都市,都市异能,完本,27109,废土之上，人类文明得以苟延残喘。一座座壁垒拔地而起，秩序却不断崩坏。有人说，当灾难降临时，精神意志才是人类面对危险的第一序列武器。有人说，不要让时代的悲哀，成为你的悲哀。有人说，我要让我的悲哀，成为这个时代的悲哀。这次是一个新的故事。浩劫余生，终见光明。
9,轮回乐园,那一只蚊子,//book.qidian.com/info/1009817672,轻小说,衍生同人,连载,26696,苏晓签订轮回契约，进入各个世界执行任务。他曾目睹一个世界崩灭为尘粒，也曾与被遗忘的王者持刃而战。暗鸦在低语，黑渊下巨兽咆哮。欢迎来到，轮回乐园……
10,超神机械师,齐佩甲,//book.qidian.com/info/1009480992,游戏,游戏异界,完本,26602,韩萧，《星海》骨灰级代练，被来自东（zuo）方(zhe)的神秘力量扔进穿越大军，携带玩家面板变成NPC，回到《星海》公测之前，毅然选择难度最高的机械系。战舰列队纵横星海，星辰机甲夭矫如龙，幽能炮毁天灭地，还有无边无际的机械大军，静静待在随身仓库里一人，即是军团！如果不是玩家出现，本书就是正经严肃的穿越异界题材……作为NPC，正常NPC对玩家功能一应俱全……发布任务？好感度调节？传授技能？哎等等，这群玩家我怎么都认识得，现实世界也回到了十年前。二群：157302881三群：884339155V群：547599250（需1w粉丝值由管理审核）
11,当医生开了外挂,手握寸关尺,//book.qidian.com/info/1016313375,都市,都市生活,完本,25477,"新书已发，读者大大们可以去看看《这个医生很危险》。……你是一名月入2000的小（穷）医生，饱受生活的压力和摧残！可是，某天一觉醒来，发现自己开了外挂……你要做一台阑尾手术，于是开腹探查：你触摸盲肠：【盲肠：健康！】你触摸结肠：【结肠：健康！】你触摸阑尾：【阑尾：这是一个炎性化脓的阑尾怪，lv15，稀有怪，建议：行阑尾切除术！】你手起刀落，圆满切下阑尾。【叮！击杀稀有阑尾怪，获得：阑尾切除术经验+100，人民币+100，白色缝合针一个！】……你是一名急诊外科医生，你一觉醒来……救人就变强！普2群：107,798,4631。全订V群：818，843，247（需全订）舵主群：群号：902，053，154。（舵主及以上）老手好酒好肉期待大家到来！"
12,黎明之剑,远瞳,//book.qidian.com/info/1010400217,科幻,时空穿梭,连载,24325,高文穿越了，但穿越的时候稍微出了点问题。在某个异界大陆上空飘了十几万年之后，他觉得自己可能需要一具身体才算是成为一个完整的穿越者，但他并没想到自己好不容易成功之后竟然还需要带着这具身体从棺材里爬出来，并且面对两个吓蒙了的曾曾曾曾……曾孙女。以及一个即将迎来纪元终结的世界。
13,白骨大圣,咬火,//book.qidian.com/info/1020884972,玄幻,东方玄幻,连载,23221,【均订过万玄幻精品！】【《白骨大圣》漫画已上线，可在腾讯动漫阅读！】死人沾地，老狗刨坟，阴人问路，吃活人饭，知道碰上其中一个意味着什么吗？「已有2万均订作品《这里有妖气》」「《这里有妖气》漫画改编版权已卖出」「《这里有妖气》漫画已上线，可在腾讯动漫、起点漫画、b站漫画阅读」V群验证群：609033668；（需全订）书友①群：608548874；（已被祭天）书友②群：760859432；（少量空位）书友③群：633795166。（少量空位）
14,我真没想重生啊,柳岸花又明,//book.qidian.com/info/1015648531,都市,都市生活,完本,22441,万万没想到，社会精英、钻石单身汉的陈汉升居然重生了，一觉醒来变成了高三毕业生。十字路口的陈汉升也在犹豫，宝藏女孩沈幼楚和白月光萧容鱼，应该选择谁？都市重生小说的天花板，年轻人绝对不可错失的恋爱宝典！
15,我真的不是气运之子,云中殿,//book.qidian.com/info/1019593678,轻小说,原生幻想,完本,18629,清月仙子：我曾与师兄西行三千里，在昆仑秘境得日月金轮！玲珑帝姬：我曾陪师兄深入北海帝葬谷，一起接受丹帝传承！不死凰后：呵呵，一群雏儿！知道他的龙凰不灭体怎么来的吗？……穿越修仙界，沈天发现自己可以看到身边其他人的气运和机缘。抱着蹭大佬主角光环的想法，沈天开始主动结交那些气运之子。……后来大家渐渐发现：无论是谁，只要跟沈天一起历练，就必然会遇到大机缘，从无例外！从那天起，沈天成了修仙界最受欢迎的吉祥物。PS：本书又名《非酋的进化论》《韭菜的100种收割方式》《好师兄，带带我》《师兄机缘，怎可分我这么多！》粉丝群号：534175450，无条件加入。vip粉丝群：287592904，要求：粉丝值500以上。PS:新书《仙帝的自我修养》已经上传！
16,神话版三国,坟土荒草,//book.qidian.com/info/3223937,历史,秦汉三国,连载,18409,陈曦看着将一块数百斤巨石撇出去的士卒，无语望苍天，这真的是东汉末年？吕布单枪匹马凿穿万人部队，这怎么看都不科学。赵子龙真心龙魂附体了，一剑断山，这真的是人？典韦单人护着曹操杀出敌营，顺手宰了对面数千步骑，这战斗力爆表了吧！这是不是哪里有些不对啊，陈曦顺手摸了一把鹅毛扇挥了一下，狂风大作，叹了一口气，“这是神话吧，我自己都不正常了。”ps：其实这是一篇正经的种田文……QQ群：95010223（满了）全订验证群：949176942酱油群：397441818（快满了）二群：418928396（快满了）三群：371034966五群：966666635
17,绍宋,榴弹怕水,//book.qidian.com/info/1017281778,历史,架空历史,完本,17736,绍者，一曰继；二曰导。公元1127年，北宋灭亡。旋即，皇九子赵构在万众期待中于商丘登基，继承宋统，改元建炎。然而，三个月内，李纲罢相，陈东被杀，岳飞被驱逐出军，宗泽被遗弃东京，河北抗金布置被全面裁撤……经过这么多努力之后，满朝文武终于统一了思想，定下了拥护赵官家南下淮甸转扬州的辉煌抗金路线。不过刚一启程，在亳州明道宫参拜了道祖之后，这位赵官家便一头栽入了闻名天下的九龙井中，起来后就不认得自己心腹是谁了！朕要抗金！可朕的心腹都在何处？！这是一个来自于九百年后灵魂的真诚呐喊，他在无可奈何继承了大宋的名号后，更要将这个朝廷与天下导向一条新路。故称绍宋。
18,魔临,纯洁滴小龙,//book.qidian.com/info/1016560323,悬疑,奇妙世界,完本,17498,这个世界一直流传着一个传说：终有一日，魔王会降临于这个世界，魔王的麾下，有七尊恐怖的魔头，他们，将带给这个世界绝望的黑暗。《魔临》舵主群：893、107、381（需要验证）《魔临》樊力群：113、552、0983（无需验证）《魔临》实体书天猫、当当、京东全平台购买，中华商务图书专营店、锦瑟闻香图书专营店正在热售，感谢大家一直以来的支持！
19,诡秘之主,爱潜水的乌贼,//book.qidian.com/info/1010868264,玄幻,异世大陆,完本,14792,蒸汽与机械的浪潮中，谁能触及非凡？历史和黑暗的迷雾里，又是谁在耳语？我从诡秘中醒来，睁眼看见这个世界：枪械，大炮，巨舰，飞空艇，差分机；魔药，占卜，诅咒，倒吊人，封印物……光明依旧照耀，神秘从未远离，这是一段“愚者”的传说。
20,我老婆是大明星,玉米煮不熟,//book.qidian.com/info/1017580377,都市,娱乐明星,完本,14314,领导想把当大明星的女儿嫁给我……（日常风，轻喜剧，无戾气，不重口，欢迎试读……）交流群：1014601906
21,从1983开始,睡觉会变白,//book.qidian.com/info/1015289802,都市,都市生活,完本,14100,一个有点怀旧的故事。……………………书友群旧群已满，新群：629116518
22,烂柯棋缘,真费事,//book.qidian.com/info/1015990091,仙侠,古典仙侠,完本,13690,烂柯旁棋局落叶，老树间对弈无人兴所致天元一子，再回首山海苍茫……一觉醒来，计缘成了一个破旧山神庙中的半瞎乞丐。真人一柄剑，神棍一张嘴，就是计缘在这个可怕的世界安身立足的根本。————普群号：563767909VIP验证群号：1071336169（需要全订截图）
23,我有一座冒险屋,我会修空调,//book.qidian.com/info/1012284323,悬疑,侦探推理,完本,13612,【本作品简体实体书由次元书馆出版】陈歌继承了失踪父母留下的冒险屋，无奈生意萧条，直到整理冒险屋时意外发现的手机改变了这一切。只要完成手机每日布置的不同难度的任务，冒险屋就能得到修缮甚至扩建！于是陈歌开始在各大禁地里探险取材，将其中场景元素纳入到自己的冒险屋中。随着前来参观的游客们各种惊声尖叫，冒险屋一举成名！然而虽然任务带来的好处越来越多，但其中隐患也慢慢显现，甚至父母失踪的线索似乎也藏其中……书友一群819098233；二群724779368；三群946284995
24,武谪仙,流浪的蛤蟆,//book.qidian.com/info/1021257058,仙侠,修真文明,连载,13495,本来的简介是——武中谪仙，软饭奇才。  现在改成了——我快手小马，靠自己的一双铁拳，击败了一个姓王的仙二代，才能堂堂正正出生在这个世界上。大家感觉到再也挤不出来月票的时候，可以去订阅《仙葫》《一剑斩破九重天》《全职武神》《蜀山》来凑一凑。
25,我真没想当救世主啊,火中物,//book.qidian.com/info/1016970531,科幻,时空穿梭,完本,12589,本书又名《千年回溯》。第31届中国科幻银河奖最佳网络文学获奖作品。……【62章起飞，92章爆炸。这是个凡夫俗子把自己硬顶成文明救世主的故事。】1977年，旅行者升空。2010年，旅行者二号向地球发送回一些奇怪的信息。2021年7月，旅行者二号提前四年彻底失联。二十六世纪初，地球文明被封锁圈养。3020年10月27日上午十点，人类灭亡。在灭亡的前一年，二十一世纪的普通青年陈锋穿越时空，抵达了千年之后，并且他发现自己死后将会回到二十一世纪。在未来阅读历史，在历史中改变未来。陈锋开始在这看似永恒的循环中，为自己与人类寻找黑暗中的唯一曙光。
