,Name,Author,Link,Category,The Specific Category,State,Yuepiao,Description
1,星门,老鹰吃小鸡,//book.qidian.com/info/1027669580,玄幻,高武世界,完本,465686,传说，在那古老的星空深处，伫立着一道血与火侵染的红色之门。传奇与神话，黑暗与光明，无尽传说皆在这古老的门户中流淌。俯瞰星门，热血照耀天地，黑暗终将离去！
2,明克街13号,纯洁滴小龙,//book.qidian.com/info/1030870265,都市,异术超能,连载,210119,我喜欢坐在夜晚空无一人的大街上，听着“他们”的窃窃私语，享受着“他们”的喧嚣。
3,夜的命名术,会说话的肘子,//book.qidian.com/info/1021617576,都市,异术超能,连载,143785,蓝与紫的霓虹中，浓密的钢铁苍穹下，数据洪流的前端，是科技革命之后的世界，也是现实与虚幻的分界。钢铁与身体，过去与未来。这里，表世界与里世界并存，面前的一切，像是时间之墙近在眼前。黑暗逐渐笼罩。可你要明白啊我的朋友，我们不能用温柔去应对黑暗，要用火。
4,大魏读书人,七月未时,//book.qidian.com/info/1029160231,仙侠,古典仙侠,完本,111920,武昌元年。大魏王朝，历经七次北伐而败，国库空虚，民不聊生，又逢先帝驾崩。而后，女帝登基，日月当空。此时，天下妖魔横出，为祸人间。大魏藩王蠢蠢欲动，朝堂涌动不安，异族番邦虎视眈眈。也就在大魏江山岌岌可危之时，文科生许清宵穿越而来，却发现只剩下十二时辰寿命。为求自保，修行‘异术’，凝聚魔种，获取超凡力量！为压制魔种，许清宵修行最强体系儒道，却不曾想，借助诗词文章，一步一步证道文圣。“吾乃许清宵，大魏读书人。”“读的是春秋！”————【万订热血儒道之作】【无敌穿越智斗爽文】【八十三章炸裂起飞】【日更两万稳定作品】
5,不科学御兽,轻泉流响,//book.qidian.com/info/1029006481,玄幻,异世大陆,连载,100032,这是一个以御兽为主流的异世界。动物，植物，元素，死灵，机械……九尾炎狐，生命古树，雷云精灵，骷髅君主，机械舰娘乃至孕育出灵的古董刀剑皆可作为宠兽，而契约、培养，御使它们的人类，则被统称为御兽师！神话学者兼考古学家时宇穿越而来，为了探寻空白的历史与失落的神话，他选择踏上了一条极为不科学的御兽之路…
6,宇宙职业选手,我吃西红柿,//book.qidian.com/info/1031581171,科幻,未来世界,连载,99429,融入宇宙文明后，家乡星球为了生存，步履蹒跚地在文明之路上前行。而星球上无数人类，也开始了进化之路……
7,术师手册,听日,//book.qidian.com/info/1025990049,轻小说,原生幻想,连载,84309,1668年，我所在的城市被评为全国治安最好的地区。我对此做出了不可磨灭的贡献。因为我落网了。
8,全职艺术家,我最白,//book.qidian.com/info/1022282526,都市,娱乐明星,连载,74152,“音乐、影视、绘画、书法、雕塑、文学……”“你都懂？”“略知一二。”“都会一点的意思？”“嗯，都会亿点的意思。”怀揣系统，靠艺术征服世界，成为各界人士顶礼膜拜的无冕之王。
9,我就是不按套路出牌,百分之七,//book.qidian.com/info/1021578188,轻小说,原生幻想,连载,73808,一场大战之后，漂亮师姐在你面前娇羞的抬起脸，并缓缓闭了眼睛，这时候你……【选项一：轻轻吻上她的嘴唇。完成奖励：千叶奇谱（地级上品）】【选项二：在她的额头上吻一下。完成奖励：阴阳双锋剑（地级下品）】【选项三：给她一个拥抱。完成奖励：幽冥宝鳞（玄级上品）】【选项四：以最快的语速说出：师姐你这是干什么，难道想要攻略我吗？只是并肩作战了一次什么的就想当女朋友也太想当然了吧，啊，我是不是说的太过分了，其实我一直都把你当作亲姐姐看待的，对不起。完成奖励：随机基础属性点+1】嗯？这次选项也太简单了吧，当然是四啊。全订书友群：949571192（需要粉丝值截图认证）
10,我的基因无限进化,青空洗雨,//book.qidian.com/info/1028554266,玄幻,高武世界,完本,66984,科技与超凡并存的世界，魔兽肆虐，万族征战，异化频起，危机四伏。好在人族在十六岁到十八岁期间有机会激活基因链，成为基因战士。基因战士进入神奇的起源之地冒险，寻找宝物，刻录超凡基因，获得神奇强大的力量，成为对抗危机的主要力量。陆缘穿越到这个世界，携带着能无限进化基因的奇异立方体。他蓦然惊醒。穿越，长得帅，有金手指，好家伙，要素齐了！难不成我就是那传说中的主角？！我，陆缘！是注定要成为人族顶梁柱的男人！已有400万字9600均订老书《随身带个狩猎空间》，书荒的朋友可以去看看
