,Name,Author,Link,Category,The Specific Category,State,Yuepiao,Description
1,星门,老鹰吃小鸡,//book.qidian.com/info/1027669580,玄幻,高武世界,完本,154957,传说，在那古老的星空深处，伫立着一道血与火侵染的红色之门。传奇与神话，黑暗与光明，无尽传说皆在这古老的门户中流淌。俯瞰星门，热血照耀天地，黑暗终将离去！
2,夜的命名术,会说话的肘子,//book.qidian.com/info/1021617576,都市,异术超能,连载,148443,蓝与紫的霓虹中，浓密的钢铁苍穹下，数据洪流的前端，是科技革命之后的世界，也是现实与虚幻的分界。钢铁与身体，过去与未来。这里，表世界与里世界并存，面前的一切，像是时间之墙近在眼前。黑暗逐渐笼罩。可你要明白啊我的朋友，我们不能用温柔去应对黑暗，要用火。
3,这个人仙太过正经,言归正传,//book.qidian.com/info/1021635590,仙侠,修真文明,完本,52027,半神之躯，比肩凡人！正经人仙，山海薅神！（正经版简介）天高九万里，地有无尽国。人道多不易，山海尽荒泽。【普一群：1071059242，普二群：1041155628，全订V群已开，在普群找管理就可。继续仙侠轻喜剧，非洪荒体系，取材《山海经》、《九歌》、《天问》，勿代入三清、道祖等人物，努力发掘更原生态的中国古典神话！】
4,深空彼岸,辰东,//book.qidian.com/info/1027339371,都市,异术超能,连载,45591,浩瀚的宇宙中，一片星系的生灭，也不过是刹那的斑驳流光。仰望星空，总有种结局已注定的伤感，千百年后你我在哪里？家国，文明火光，地球，都不过是深空中的一粒尘埃。星空一瞬，人间千年。虫鸣一世不过秋，你我一样在争渡。深空尽头到底有什么？——————书友群见书友圈置顶帖。
5,不科学御兽,轻泉流响,//book.qidian.com/info/1029006481,玄幻,异世大陆,连载,44891,这是一个以御兽为主流的异世界。动物，植物，元素，死灵，机械……九尾炎狐，生命古树，雷云精灵，骷髅君主，机械舰娘乃至孕育出灵的古董刀剑皆可作为宠兽，而契约、培养，御使它们的人类，则被统称为御兽师！神话学者兼考古学家时宇穿越而来，为了探寻空白的历史与失落的神话，他选择踏上了一条极为不科学的御兽之路…
6,长夜余火,爱潜水的乌贼,//book.qidian.com/info/1023422452,玄幻,异世大陆,完本,42978,灰土上所有人都相信，埋葬在危险和饥荒中的某个遗迹深处，有通往新世界的道路，只要能找到一把独特的钥匙，打开那扇门，就能进入新世界。在那里，大地是丰饶的，就像流淌着奶与蜜，阳光是灿烂的，似乎能洗去寒冷和阴晦。人们不用再面对荒芜、怪物、感染、畸变和各种危险的事物。在那里，孩子是快乐的，成人是幸福的，一切都是美好的。灰土上每一个古物学者、遗迹猎人和历史研究员都知道，这里就是新世界。
7,大梦主,忘语,//book.qidian.com/info/1016534035,仙侠,幻想修仙,连载,42767,一个从小体弱多病的富商之子，在寻求续命之法时，意外走上了修仙登天之路！大唐盛世，天下安泰，风调雨顺，百姓安居。千年后世，魔物吞天，妖鬼横行，遍野哀鸣。西游再现，大圣斗天，天蓬下凡，卷帘重生。莫名的穿梭与轮回，虚实掩映，真幻交织！是预言中的梦境？还是尚未发生的现实？他能否打破命中注定的魔障，消弭还未发生的三界大劫，挽救苍生于水火？
8,从红月开始,黑山老鬼,//book.qidian.com/info/1024868626,科幻,进化变异,完本,42750,红月亮出现在天上的那一刻开始，全世界的人都成了疯子。除了我！
9,轮回乐园,那一只蚊子,//book.qidian.com/info/1009817672,轻小说,衍生同人,连载,41317,苏晓签订轮回契约，进入各个世界执行任务。他曾目睹一个世界崩灭为尘粒，也曾与被遗忘的王者持刃而战。暗鸦在低语，黑渊下巨兽咆哮。欢迎来到，轮回乐园……
10,人族镇守使,白驹易逝,//book.qidian.com/info/1026225232,玄幻,东方玄幻,连载,40974,重活一世，沈长青成为大秦镇魔司一员，此时恰逢妖魔乱世，诡怪猖獗——斩杀幽级诡怪，纯阳功圆满！斩杀怨级诡怪，天武罡气圆满！斩杀强大妖邪，打破自身极限！斩杀——若干年后，沈长青化身人族镇守使，诸般妖魔诡怪尽皆俯首！“有我一日，人族不灭！”——有四百万字完本老书《我真的是正派》以及二百万字完本老书《重生之独步江湖》，欢迎阅读！
