,Name,Author,Link,Category,The Specific Category,State,Yuepiao,Description
1,大奉打更人,卖报小郎君,//book.qidian.com/info/1019664125,仙侠,幻想修仙,完本,291905,《大奉打更人》1-12册实体书已在天猫、京东、当当全平台发售。这个世界，有儒；有道；有佛；有妖；有术士。警校毕业的许七安幽幽醒来，发现自己身处牢狱之中，三日后流放边陲.....他起初的目的只是自保，顺便在这个没有人权的社会里当个富家翁悠闲度日。......多年后，许七安回首前尘，身后是早已逝去的敌人，以及累累白骨。滚滚长江东逝水，浪花淘尽英雄，是非成败转头空。青山依旧在，几度夕阳红。
2,深空彼岸,辰东,//book.qidian.com/info/1027339371,都市,异术超能,连载,273787,浩瀚的宇宙中，一片星系的生灭，也不过是刹那的斑驳流光。仰望星空，总有种结局已注定的伤感，千百年后你我在哪里？家国，文明火光，地球，都不过是深空中的一粒尘埃。星空一瞬，人间千年。虫鸣一世不过秋，你我一样在争渡。深空尽头到底有什么？——————书友群见书友圈置顶帖。
3,夜的命名术,会说话的肘子,//book.qidian.com/info/1021617576,都市,异术超能,连载,112952,蓝与紫的霓虹中，浓密的钢铁苍穹下，数据洪流的前端，是科技革命之后的世界，也是现实与虚幻的分界。钢铁与身体，过去与未来。这里，表世界与里世界并存，面前的一切，像是时间之墙近在眼前。黑暗逐渐笼罩。可你要明白啊我的朋友，我们不能用温柔去应对黑暗，要用火。
4,从红月开始,黑山老鬼,//book.qidian.com/info/1024868626,科幻,进化变异,完本,63118,红月亮出现在天上的那一刻开始，全世界的人都成了疯子。除了我！
5,全职艺术家,我最白,//book.qidian.com/info/1022282526,都市,娱乐明星,连载,46173,“音乐、影视、绘画、书法、雕塑、文学……”“你都懂？”“略知一二。”“都会一点的意思？”“嗯，都会亿点的意思。”怀揣系统，靠艺术征服世界，成为各界人士顶礼膜拜的无冕之王。
6,轮回乐园,那一只蚊子,//book.qidian.com/info/1009817672,轻小说,衍生同人,连载,42663,苏晓签订轮回契约，进入各个世界执行任务。他曾目睹一个世界崩灭为尘粒，也曾与被遗忘的王者持刃而战。暗鸦在低语，黑渊下巨兽咆哮。欢迎来到，轮回乐园……
7,星门,老鹰吃小鸡,//book.qidian.com/info/1027669580,玄幻,高武世界,完本,38627,传说，在那古老的星空深处，伫立着一道血与火侵染的红色之门。传奇与神话，黑暗与光明，无尽传说皆在这古老的门户中流淌。俯瞰星门，热血照耀天地，黑暗终将离去！
8,这个人仙太过正经,言归正传,//book.qidian.com/info/1021635590,仙侠,修真文明,完本,37622,半神之躯，比肩凡人！正经人仙，山海薅神！（正经版简介）天高九万里，地有无尽国。人道多不易，山海尽荒泽。【普一群：1071059242，普二群：1041155628，全订V群已开，在普群找管理就可。继续仙侠轻喜剧，非洪荒体系，取材《山海经》、《九歌》、《天问》，勿代入三清、道祖等人物，努力发掘更原生态的中国古典神话！】
9,人族镇守使,白驹易逝,//book.qidian.com/info/1026225232,玄幻,东方玄幻,连载,35344,重活一世，沈长青成为大秦镇魔司一员，此时恰逢妖魔乱世，诡怪猖獗——斩杀幽级诡怪，纯阳功圆满！斩杀怨级诡怪，天武罡气圆满！斩杀强大妖邪，打破自身极限！斩杀——若干年后，沈长青化身人族镇守使，诸般妖魔诡怪尽皆俯首！“有我一日，人族不灭！”——有四百万字完本老书《我真的是正派》以及二百万字完本老书《重生之独步江湖》，欢迎阅读！
10,镇妖博物馆,阎ZK,//book.qidian.com/info/1026722127,悬疑,诡秘悬疑,连载,34992,世之反常为妖物之性灵为精魂之不散为诡物之异常为怪司隶校尉，旧称卧虎，汉武帝所设，治巫蛊之事，捕奸滑之徒。全球范围内的灵气和神秘复苏，人类摸索着走上修行道路，潜藏在传说中的妖精鬼怪一一浮现，阴影处仍旧有无数邪魔晃动，一间无人问津的博物馆，一面汉武帝时期的刻虎腰牌，让卫渊成为当代最后一位司隶校尉，带他前往古往今来诸多妖异之事。古今稀奇事，子不语怪力乱神，姑妄言之，姑妄听之。姑且斩之。一柄八面汉剑，斩尽魑魅魍魉。生死当定，天道存心。当最后卫渊终于能在和平岁月里，躺着木椅眯眼晒太阳的时候，背后的博物馆里已经封印了无数的妖魔鬼怪。
11,亏成首富从游戏开始,青衫取醉,//book.qidian.com/info/1016150754,游戏,游戏系统,完本,34409,近日，特约记者对腾达集团总裁裴谦做了专访。腾达集团目前估值已达千亿级别，业务涉及游戏、互联网、数码硬件、文化传媒、餐饮等多个领域，深刻地改变了人们生活的方方面面。而裴谦，也被视为“绝世好老板”、“不世出的投资奇才”、“天才游戏制作人”，拥有“无为而治的管理才能”和“对行业风向的精确洞察力”。面对记者，裴谦大吐苦水。“我真不是什么商业奇才啊！”“我的成功，完完全全都是运气使然！”“我最初的目标，只是想亏光五万块而已……”看，商业天才的人生就是这么的谦虚而又低调。书友群：792351511（新群）1064135703（快满了）893157567（快满了）
12,黎明之剑,远瞳,//book.qidian.com/info/1010400217,科幻,时空穿梭,连载,33758,高文穿越了，但穿越的时候稍微出了点问题。在某个异界大陆上空飘了十几万年之后，他觉得自己可能需要一具身体才算是成为一个完整的穿越者，但他并没想到自己好不容易成功之后竟然还需要带着这具身体从棺材里爬出来，并且面对两个吓蒙了的曾曾曾曾……曾孙女。以及一个即将迎来纪元终结的世界。
13,我就是不按套路出牌,百分之七,//book.qidian.com/info/1021578188,轻小说,原生幻想,连载,33476,一场大战之后，漂亮师姐在你面前娇羞的抬起脸，并缓缓闭了眼睛，这时候你……【选项一：轻轻吻上她的嘴唇。完成奖励：千叶奇谱（地级上品）】【选项二：在她的额头上吻一下。完成奖励：阴阳双锋剑（地级下品）】【选项三：给她一个拥抱。完成奖励：幽冥宝鳞（玄级上品）】【选项四：以最快的语速说出：师姐你这是干什么，难道想要攻略我吗？只是并肩作战了一次什么的就想当女朋友也太想当然了吧，啊，我是不是说的太过分了，其实我一直都把你当作亲姐姐看待的，对不起。完成奖励：随机基础属性点+1】嗯？这次选项也太简单了吧，当然是四啊。全订书友群：949571192（需要粉丝值截图认证）
14,稳住别浪,跳舞,//book.qidian.com/info/1025325411,都市,都市异能,连载,33327,天堂打烊，地狱满员。所以，我留在人间当祸害呀……
