,Name,Author,Link,Category,The Specific Category,State,Yuepiao,Description
1,夜的命名术,会说话的肘子,//book.qidian.com/info/1021617576,都市,异术超能,连载,175191,蓝与紫的霓虹中，浓密的钢铁苍穹下，数据洪流的前端，是科技革命之后的世界，也是现实与虚幻的分界。钢铁与身体，过去与未来。这里，表世界与里世界并存，面前的一切，像是时间之墙近在眼前。黑暗逐渐笼罩。可你要明白啊我的朋友，我们不能用温柔去应对黑暗，要用火。
2,不科学御兽,轻泉流响,//book.qidian.com/info/1029006481,玄幻,异世大陆,连载,98928,这是一个以御兽为主流的异世界。动物，植物，元素，死灵，机械……九尾炎狐，生命古树，雷云精灵，骷髅君主，机械舰娘乃至孕育出灵的古董刀剑皆可作为宠兽，而契约、培养，御使它们的人类，则被统称为御兽师！神话学者兼考古学家时宇穿越而来，为了探寻空白的历史与失落的神话，他选择踏上了一条极为不科学的御兽之路…
3,明克街13号,纯洁滴小龙,//book.qidian.com/info/1030870265,都市,异术超能,连载,89662,我喜欢坐在夜晚空无一人的大街上，听着“他们”的窃窃私语，享受着“他们”的喧嚣。
4,星门,老鹰吃小鸡,//book.qidian.com/info/1027669580,玄幻,高武世界,完本,77154,传说，在那古老的星空深处，伫立着一道血与火侵染的红色之门。传奇与神话，黑暗与光明，无尽传说皆在这古老的门户中流淌。俯瞰星门，热血照耀天地，黑暗终将离去！
5,家父汉高祖,历史系之狼,//book.qidian.com/info/1032822816,历史,秦汉三国,连载,61244,一个伟大的帝国刚刚诞生，新的时代即将到来。刘长也曾想过要不要争一争那大位，由自己来率领这个崭新的帝国，可是他看了看自己的周围，刘邦，吕后，刘盈，刘恒...嗯，活着不好吗？于是乎，刘长戴上了穿越者之耻的帽子，开始了混吃等死的咸鱼生活。又名《我愚蠢的欧豆豆》，《这娃其实是项羽的吧？》，《跟你这样的虫豸怎么能治好大汉》等等。
6,这游戏也太真实了,晨星LL,//book.qidian.com/info/1029391348,轻小说,原生幻想,连载,58958,这游戏也太真实了叭！搬砖、跑腿、捡垃圾、送快递……公司最多能让你体会到996的艰辛，在这里你能体会到超级加倍的007。好了，不废话了，伟大的管理者大人喊我去搬砖了。那位大人说了，只要我们努力献上自己的肝，下个月他又能换一套全新的动力甲，到时候带我们开全新的地图，去广阔的废土捡更多的垃圾！……穿越到废土世界的楚光发现，自己解锁了避难所系统，能够从平行世界召唤名为“玩家”的生物。从那天开始，整个废土都不正经了。
7,轮回乐园,那一只蚊子,//book.qidian.com/info/1009817672,轻小说,衍生同人,连载,49837,苏晓签订轮回契约，进入各个世界执行任务。他曾目睹一个世界崩灭为尘粒，也曾与被遗忘的王者持刃而战。暗鸦在低语，黑渊下巨兽咆哮。欢迎来到，轮回乐园……
8,大梦主,忘语,//book.qidian.com/info/1016534035,仙侠,幻想修仙,连载,43241,一个从小体弱多病的富商之子，在寻求续命之法时，意外走上了修仙登天之路！大唐盛世，天下安泰，风调雨顺，百姓安居。千年后世，魔物吞天，妖鬼横行，遍野哀鸣。西游再现，大圣斗天，天蓬下凡，卷帘重生。莫名的穿梭与轮回，虚实掩映，真幻交织！是预言中的梦境？还是尚未发生的现实？他能否打破命中注定的魔障，消弭还未发生的三界大劫，挽救苍生于水火？
9,我只想安静的做个苟道中人,爆炸小拿铁,//book.qidian.com/info/1026694115,仙侠,幻想修仙,连载,42417,“叮咚！”“欢迎使用全智能修真系统！”“您选择修炼【锻骨决】，系统开始为您修炼，系统检测缺少修炼丹药淬骨丹，请稍等……”“系统成功为你偷取了十颗淬骨丹，修炼继续……”“重要提示，系统修炼期间，您将失去身体的控制权……”得到智能修仙系统后，裴凌不声不响的飞速成长，准备一直苟到成仙，直到某一天……“叮咚！”“您选择修炼【无名功法】，系统检测缺少道侣，系统正在为您寻找道侣……”于是，裴凌眼睁睁的看着自己跑向隔壁仙子的修炼室……
10,赤心巡天,情何以甚,//book.qidian.com/info/1016530091,仙侠,古典仙侠,连载,39263,（《赤心巡天》实体书已在全网发售。）上古时代，妖族绝迹。近古时代，龙族消失。神道大昌的时代已经如烟，飞剑绝巅的时代终究沉沦……这个世界发生了什么？那埋葬于时间长河里的历史真相，谁来聆听？山河千里写伏尸，乾坤百年描饿虎。天地至公如无情，我有赤心一颗、以巡天！——————欢迎来到，情何以甚的仙侠世界。——————枫林城：1044491349（普群）VIP验证群：327980714
11,公子别秀,荣小荣,//book.qidian.com/info/1031101410,玄幻,异世大陆,连载,38313,林秀一觉醒来，世界已经截然不同。有人力拔山兮，扛峰举鼎；有人举目千里，一览无遗；有人御风而行，逍遥天地；有人隐形匿迹，来去无踪……秀就完了。
12,长夜余火,爱潜水的乌贼,//book.qidian.com/info/1023422452,玄幻,异世大陆,完本,37072,灰土上所有人都相信，埋葬在危险和饥荒中的某个遗迹深处，有通往新世界的道路，只要能找到一把独特的钥匙，打开那扇门，就能进入新世界。在那里，大地是丰饶的，就像流淌着奶与蜜，阳光是灿烂的，似乎能洗去寒冷和阴晦。人们不用再面对荒芜、怪物、感染、畸变和各种危险的事物。在那里，孩子是快乐的，成人是幸福的，一切都是美好的。灰土上每一个古物学者、遗迹猎人和历史研究员都知道，这里就是新世界。
13,视死如归魏君子,平层,//book.qidian.com/info/1027440366,轻小说,原生幻想,连载,36642,魏君确认自己被杀死后就能直接无敌，于是他开始疯狂的作死。然后，他发现这个世界有毒。“当初仙门凌驾于朝堂之上作威作福，满朝文武包括朕皆对仙人卑躬屈膝，只有魏君一身是胆，视死如归，在众目睽睽之下大骂朕有辱帝王尊严，更是直言仙人不死，大盗不止。当时朕就下定决心，如此忠臣，朕一定要护他周全。”“仙人说我是天煞孤星，所到之处死亡如影随形。我秉公执法，却被嫌弃给人带来了噩运。我无私的帮过很多人，我落难的时候却只得到了千夫所指。直到魏君的出现，他对我说，我没有错，他不怕死。纵然我的生命只剩黑暗，他也愿用性命舍命燃灯照耀在我身上，让我重见光明。如此大恩大德，小女子无以为报，只能以身相许，魏郎请务必不要推辞。”“我初见魏君的时候，魏君还很弱小，而我是被上界追杀的盖世魔君。我告诉他，救了我就等于和众神为敌，会死的。魏君笑着对我说，死则死耳，何惧之有？我一生纵横无敌，看透了凡间的残酷与仙神的虚伪。直到遇见魏君，我方知这世间当真有视死如归的真英雄。”魏君：“我只是想死，怎么就这么难呢？”
14,我已不做大佬好多年,萌俊,//book.qidian.com/info/1030846729,都市,都市生活,连载,35586,这是一个梦已远，却梦回八零的故事。不是打打杀杀，是人情世故。我的名，张国宾！我已不做大佬好多年。
15,灵境行者,卖报小郎君,//book.qidian.com/info/1031940621,科幻,进化变异,连载,33648,亘古通今，传闻世有灵境。关于灵境的说法，历朝历代的名人雅士众说纷纭，诗中记载：“自齐至唐，兹山濅荒，灵境寂寥，罕有人游。”“灵境不可状，鬼工谅难求。”
16,深空彼岸,辰东,//book.qidian.com/info/1027339371,都市,异术超能,连载,30635,浩瀚的宇宙中，一片星系的生灭，也不过是刹那的斑驳流光。仰望星空，总有种结局已注定的伤感，千百年后你我在哪里？家国，文明火光，地球，都不过是深空中的一粒尘埃。星空一瞬，人间千年。虫鸣一世不过秋，你我一样在争渡。深空尽头到底有什么？——————书友群见书友圈置顶帖。
17,艾泽拉斯阴影轨迹,帅犬弗兰克,//book.qidian.com/info/1028005898,游戏,游戏异界,连载,30618,骨灰级玩家穿越魔兽，成了吉安娜的亲哥哥，咱现在也是王子了，为了家族存续着想，我是不是该先把自家妹妹的腿打折，免得她以后成为一个弑亲禽兽？等等？怎么一过来就要先死一次？让我看看攻略。嗯，先触摸额头开启人物面板，然后抄起武器去开了那个兽人的脑壳，如果掉落装备就赚了，没有也不必伤心，洗把手，然后再去找下一个……好了，不开玩笑了，让我们正经一点，重新开始讲这个故事：死亡是一把钥匙，打开新的人生。布莱克.肖手握玩家模板，可以打怪升级，坐拥职业系统，一路高歌猛进。系紧黑夜为披风，手握阴影做利刃，用杀戮磨砺爪牙，以恐惧喂养野心。从风暴王国到奥格瑞玛，他的恶行无人不知，从冰冠冰川到潘达利亚，他的恶名无人不晓。当黑衣帝王破影而出时，整个世界都战栗不休。这就是关于这个人的故事，从黑暗之门六年的卡兹莫丹讲起...
18,这个明星很想退休,幼儿园一把手,//book.qidian.com/info/1029510590,都市,娱乐明星,连载,29595,众人：“不！你不想！”
19,神话版三国,坟土荒草,//book.qidian.com/info/3223937,历史,秦汉三国,连载,27055,陈曦看着将一块数百斤巨石撇出去的士卒，无语望苍天，这真的是东汉末年？吕布单枪匹马凿穿万人部队，这怎么看都不科学。赵子龙真心龙魂附体了，一剑断山，这真的是人？典韦单人护着曹操杀出敌营，顺手宰了对面数千步骑，这战斗力爆表了吧！这是不是哪里有些不对啊，陈曦顺手摸了一把鹅毛扇挥了一下，狂风大作，叹了一口气，“这是神话吧，我自己都不正常了。”ps：其实这是一篇正经的种田文……QQ群：95010223（满了）全订验证群：949176942酱油群：397441818（快满了）二群：418928396（快满了）三群：371034966五群：966666635
20,洪主,烽仙,//book.qidian.com/info/1016872810,仙侠,修真文明,连载,25109,大江东去，洗不尽人族英雄血。自六千年前成阳大帝起兵，这天下，便是我人族天下。
21,重生之似水流年,苍山月,//book.qidian.com/info/1027551057,都市,都市生活,连载,23274,一个伤痕累累的中年灵魂倒退回时光里，拥抱98年的斑驳阳光。蓦然发现，原来那时少年正好，岁月飘香。原来犯错才叫成长，青春可以如此飞扬...
