,Name,Author,Link,Category,The Specific Category,State,Yuepiao,Description
1,夜的命名术,会说话的肘子,//book.qidian.com/info/1021617576,都市,异术超能,连载,168857,蓝与紫的霓虹中，浓密的钢铁苍穹下，数据洪流的前端，是科技革命之后的世界，也是现实与虚幻的分界。钢铁与身体，过去与未来。这里，表世界与里世界并存，面前的一切，像是时间之墙近在眼前。黑暗逐渐笼罩。可你要明白啊我的朋友，我们不能用温柔去应对黑暗，要用火。
2,不科学御兽,轻泉流响,//book.qidian.com/info/1029006481,玄幻,异世大陆,连载,78003,这是一个以御兽为主流的异世界。动物，植物，元素，死灵，机械……九尾炎狐，生命古树，雷云精灵，骷髅君主，机械舰娘乃至孕育出灵的古董刀剑皆可作为宠兽，而契约、培养，御使它们的人类，则被统称为御兽师！神话学者兼考古学家时宇穿越而来，为了探寻空白的历史与失落的神话，他选择踏上了一条极为不科学的御兽之路…
3,星门,老鹰吃小鸡,//book.qidian.com/info/1027669580,玄幻,高武世界,完本,75724,传说，在那古老的星空深处，伫立着一道血与火侵染的红色之门。传奇与神话，黑暗与光明，无尽传说皆在这古老的门户中流淌。俯瞰星门，热血照耀天地，黑暗终将离去！
4,深空彼岸,辰东,//book.qidian.com/info/1027339371,都市,异术超能,连载,74792,浩瀚的宇宙中，一片星系的生灭，也不过是刹那的斑驳流光。仰望星空，总有种结局已注定的伤感，千百年后你我在哪里？家国，文明火光，地球，都不过是深空中的一粒尘埃。星空一瞬，人间千年。虫鸣一世不过秋，你我一样在争渡。深空尽头到底有什么？——————书友群见书友圈置顶帖。
5,从红月开始,黑山老鬼,//book.qidian.com/info/1024868626,科幻,进化变异,完本,72718,红月亮出现在天上的那一刻开始，全世界的人都成了疯子。除了我！
6,我有一棵神话树,南瞻台,//book.qidian.com/info/1016311897,玄幻,异世大陆,连载,67229,无垠蛮荒，亿万巨族林立，埋葬无数隐秘，人族势弱，食不果腹，受万族欺压。纪夏携一棵禁朽神树降临无垠蛮荒，立轮回幽冥，册封万千神祇，建人族天庭。神树结果，果实中无数神物：【万粮宝瓶：投入灵晶，产出大量稻米。】【星辰古树灵种：古树长出，散发浓郁灵元，供给太苍万民修行。】【太先上庭：上苍天庭，镇压国中妖灵，提升民慧，身在上庭，纪夏战力大幅度提高。】【神人秘果：其中随机孕育一位盖世神人。】……（开书至今，从无断更，放心收藏。）
7,我就是不按套路出牌,百分之七,//book.qidian.com/info/1021578188,轻小说,原生幻想,连载,56228,一场大战之后，漂亮师姐在你面前娇羞的抬起脸，并缓缓闭了眼睛，这时候你……【选项一：轻轻吻上她的嘴唇。完成奖励：千叶奇谱（地级上品）】【选项二：在她的额头上吻一下。完成奖励：阴阳双锋剑（地级下品）】【选项三：给她一个拥抱。完成奖励：幽冥宝鳞（玄级上品）】【选项四：以最快的语速说出：师姐你这是干什么，难道想要攻略我吗？只是并肩作战了一次什么的就想当女朋友也太想当然了吧，啊，我是不是说的太过分了，其实我一直都把你当作亲姐姐看待的，对不起。完成奖励：随机基础属性点+1】嗯？这次选项也太简单了吧，当然是四啊。全订书友群：949571192（需要粉丝值截图认证）
8,这个人仙太过正经,言归正传,//book.qidian.com/info/1021635590,仙侠,修真文明,完本,53977,半神之躯，比肩凡人！正经人仙，山海薅神！（正经版简介）天高九万里，地有无尽国。人道多不易，山海尽荒泽。【普一群：1071059242，普二群：1041155628，全订V群已开，在普群找管理就可。继续仙侠轻喜剧，非洪荒体系，取材《山海经》、《九歌》、《天问》，勿代入三清、道祖等人物，努力发掘更原生态的中国古典神话！】
9,大梦主,忘语,//book.qidian.com/info/1016534035,仙侠,幻想修仙,连载,51691,一个从小体弱多病的富商之子，在寻求续命之法时，意外走上了修仙登天之路！大唐盛世，天下安泰，风调雨顺，百姓安居。千年后世，魔物吞天，妖鬼横行，遍野哀鸣。西游再现，大圣斗天，天蓬下凡，卷帘重生。莫名的穿梭与轮回，虚实掩映，真幻交织！是预言中的梦境？还是尚未发生的现实？他能否打破命中注定的魔障，消弭还未发生的三界大劫，挽救苍生于水火？
10,我的云养女友,常世,//book.qidian.com/info/1025553433,轻小说,原生幻想,完本,50960,【起点四万订作品，品质保证，放心阅读】“云养”，是一种新兴的娱乐方式。一般是指因为条件限制，没办法自己养猫，养狗，养宠物的人，通过网络等方式，远程养这些宠物，借此获得心理的愉悦感。而在养的过程，这些人也会投喂，或者打赏，参与到养的过程中。像是真的拥有这个宠物一样。而职业玩家陈言，却无意中玩了个【云养女友】的游戏。只要给云养女友投喂食物或者买买买，就可以获得【十倍返现】。提高好感度，可以获得各种【神奇的道具】，还可以直接“奔现”？明明是一个很有爱的“恋爱游戏”，但是…不走寻常路的陈言，却硬是玩成了一个刷钱的游戏，为自己的事业助燃。陈言，“女朋友有什么好的？是闻着香，还是抱着软？哪有刷钱有意思！”而云养女友…“他为了给我惊喜，花了这么多心思，这么多的钱，一定很爱我...”——————已有高订三万，三百万字的完本老书《我给万物加个点》，更新期间无断更。人品保证，放心跟读。读者1群：664616129（2000人已满）读者2群：233122761（2000人已满）读者3群：709662630（新开）vip1群，vip2群已满，vip3群请加普群验证
11,大奉打更人,卖报小郎君,//book.qidian.com/info/1019664125,仙侠,幻想修仙,完本,48134,《大奉打更人》1-12册实体书已在天猫、京东、当当全平台发售。这个世界，有儒；有道；有佛；有妖；有术士。警校毕业的许七安幽幽醒来，发现自己身处牢狱之中，三日后流放边陲.....他起初的目的只是自保，顺便在这个没有人权的社会里当个富家翁悠闲度日。......多年后，许七安回首前尘，身后是早已逝去的敌人，以及累累白骨。滚滚长江东逝水，浪花淘尽英雄，是非成败转头空。青山依旧在，几度夕阳红。
12,仙狐,流浪的蛤蟆,//book.qidian.com/info/1028865805,仙侠,幻想修仙,连载,44464,胡山落帽千年事，人情时事半悲欢！我是胡欢，一头七八百岁的老狐狸，看过法兰西人砍皇后，参加过欧洲革命，大航海时代做过海盗，蒸汽机时代开过工厂，资助过十八世纪最有成就的艺术家，现在……
13,斗罗大陆V重生唐三,唐家三少,//book.qidian.com/info/1027996625,玄幻,异世大陆,连载,43138,一代神王唐三，带着一点神识在宇宙中遨游，寻找妻子转世重生的世界。在神识的牵引下，他来到了一个叫做妖精大陆的地方，而他却发现，这是一个人类为刍狗的世界……
14,轮回乐园,那一只蚊子,//book.qidian.com/info/1009817672,轻小说,衍生同人,连载,42895,苏晓签订轮回契约，进入各个世界执行任务。他曾目睹一个世界崩灭为尘粒，也曾与被遗忘的王者持刃而战。暗鸦在低语，黑渊下巨兽咆哮。欢迎来到，轮回乐园……
15,赤心巡天,情何以甚,//book.qidian.com/info/1016530091,仙侠,古典仙侠,连载,34140,（《赤心巡天》实体书已在全网发售。）上古时代，妖族绝迹。近古时代，龙族消失。神道大昌的时代已经如烟，飞剑绝巅的时代终究沉沦……这个世界发生了什么？那埋葬于时间长河里的历史真相，谁来聆听？山河千里写伏尸，乾坤百年描饿虎。天地至公如无情，我有赤心一颗、以巡天！——————欢迎来到，情何以甚的仙侠世界。——————枫林城：1044491349（普群）VIP验证群：327980714
16,全职艺术家,我最白,//book.qidian.com/info/1022282526,都市,娱乐明星,连载,32143,“音乐、影视、绘画、书法、雕塑、文学……”“你都懂？”“略知一二。”“都会一点的意思？”“嗯，都会亿点的意思。”怀揣系统，靠艺术征服世界，成为各界人士顶礼膜拜的无冕之王。
17,长夜余火,爱潜水的乌贼,//book.qidian.com/info/1023422452,玄幻,异世大陆,完本,31106,灰土上所有人都相信，埋葬在危险和饥荒中的某个遗迹深处，有通往新世界的道路，只要能找到一把独特的钥匙，打开那扇门，就能进入新世界。在那里，大地是丰饶的，就像流淌着奶与蜜，阳光是灿烂的，似乎能洗去寒冷和阴晦。人们不用再面对荒芜、怪物、感染、畸变和各种危险的事物。在那里，孩子是快乐的，成人是幸福的，一切都是美好的。灰土上每一个古物学者、遗迹猎人和历史研究员都知道，这里就是新世界。
18,人族镇守使,白驹易逝,//book.qidian.com/info/1026225232,玄幻,东方玄幻,连载,29399,重活一世，沈长青成为大秦镇魔司一员，此时恰逢妖魔乱世，诡怪猖獗——斩杀幽级诡怪，纯阳功圆满！斩杀怨级诡怪，天武罡气圆满！斩杀强大妖邪，打破自身极限！斩杀——若干年后，沈长青化身人族镇守使，诸般妖魔诡怪尽皆俯首！“有我一日，人族不灭！”——有四百万字完本老书《我真的是正派》以及二百万字完本老书《重生之独步江湖》，欢迎阅读！
19,黎明之剑,远瞳,//book.qidian.com/info/1010400217,科幻,时空穿梭,连载,28616,高文穿越了，但穿越的时候稍微出了点问题。在某个异界大陆上空飘了十几万年之后，他觉得自己可能需要一具身体才算是成为一个完整的穿越者，但他并没想到自己好不容易成功之后竟然还需要带着这具身体从棺材里爬出来，并且面对两个吓蒙了的曾曾曾曾……曾孙女。以及一个即将迎来纪元终结的世界。
20,镇妖博物馆,阎ZK,//book.qidian.com/info/1026722127,悬疑,诡秘悬疑,连载,27399,世之反常为妖物之性灵为精魂之不散为诡物之异常为怪司隶校尉，旧称卧虎，汉武帝所设，治巫蛊之事，捕奸滑之徒。全球范围内的灵气和神秘复苏，人类摸索着走上修行道路，潜藏在传说中的妖精鬼怪一一浮现，阴影处仍旧有无数邪魔晃动，一间无人问津的博物馆，一面汉武帝时期的刻虎腰牌，让卫渊成为当代最后一位司隶校尉，带他前往古往今来诸多妖异之事。古今稀奇事，子不语怪力乱神，姑妄言之，姑妄听之。姑且斩之。一柄八面汉剑，斩尽魑魅魍魉。生死当定，天道存心。当最后卫渊终于能在和平岁月里，躺着木椅眯眼晒太阳的时候，背后的博物馆里已经封印了无数的妖魔鬼怪。
21,稳住别浪,跳舞,//book.qidian.com/info/1025325411,都市,都市异能,连载,26251,天堂打烊，地狱满员。所以，我留在人间当祸害呀……
22,朕,王梓钧,//book.qidian.com/info/1028520538,历史,两宋元明,连载,26179,回到明末，沦落为奴。这皇帝，乞丐做得，建奴做得，流寇做得，家奴就做不得？
23,东晋北府一丘八,指云笑天道1,//book.qidian.com/info/1010056141,历史,两晋隋唐,连载,24058,历史的车轮滚过波澜壮阔的三国时代，中原大地迎来了百年未遇的和平，人们都以为盛世即将来临，可谁都没想到，等来的却是一场汉人永远也不愿面对的千年恶梦。永嘉丧乱，中原大地，虎狼横行!华夏的儿女，在血泊中哀号。不甘为奴的汉人举族南下，在江东之地重建东晋，自祖逖起，百年来汉家军队六出江南，九伐中原，可惜功亏一篑，多少志士，徒望两京兴叹，巍巍青山，何处不埋忠骨？所幸天不亡汉族，还有刘寄奴，他会用一腔的热血，吼出这个时代的最强音：汉胡不两立，王业不偏安！欢迎随本书走进那段金戈铁马，气吞万里的年代。书友Q群号818116794(普群)，933794235（V群，需要起点粉丝值验证）
